episode,timestep,reward
11,600,-169.6327
23,1200,-170.3899
35,1800,-140.5579
47,2400,-169.7483
59,3000,-145.2626
71,3600,-155.7223
83,4200,-145.6708
95,4800,-158.4445
107,5400,-143.3683
119,6000,-138.9097
131,6600,-162.3946
143,7200,-139.6168
155,7800,-143.3049
167,8400,-149.0033
179,9000,-143.9909
191,9600,-156.427
203,10200,-153.6756
215,10800,-142.2458
227,11400,-151.7121
239,12000,-142.1864
251,12600,-153.6136
263,13200,-155.8542
275,13800,-137.0148
287,14400,-148.5411
299,15000,-151.2346
311,15600,-143.6286
323,16200,-168.1095
335,16800,-169.0798
347,17400,-178.9188
359,18000,-153.989
371,18600,-163.1941
383,19200,-174.9453
395,19800,-171.287
407,20400,-160.2643
419,21000,-168.285
431,21600,-168.8908
443,22200,-159.6437
455,22800,-172.5424
467,23400,-168.0816
479,24000,-156.5083
491,24600,-160.9055
503,25200,-156.3308
515,25800,-171.4332
527,26400,-169.2542
539,27000,-172.3941
551,27600,-149.0321
563,28200,-168.5265
575,28800,-161.2449
587,29400,-165.8211
599,30000,-142.4419
611,30600,-153.4635
623,31200,-174.646
635,31800,-147.3436
647,32400,-155.3542
659,33000,-171.6107
671,33600,-132.0684
683,34200,-149.7835
695,34800,-142.5566
707,35400,-153.6331
719,36000,-165.7534
731,36600,-145.4284
743,37200,-158.0171
755,37800,-167.914
767,38400,-164.9895
779,39000,-166.9774
791,39600,-164.8972
803,40200,-164.5604
815,40800,-172.4405
827,41400,-171.9004
839,42000,-172.7085
851,42600,-135.5318
863,43200,-167.7993
875,43800,-171.3901
887,44400,-144.6108
899,45000,-146.454
911,45600,-161.37
923,46200,-170.0618
935,46800,-150.7946
947,47400,-142.1631
959,48000,-156.905
971,48600,-162.2789
983,49200,-155.2879
995,49800,-141.1212
1007,50400,-149.67
1019,51000,-148.3677
1031,51600,-156.6491
1043,52200,-158.8081
1055,52800,-154.2775
1067,53400,-164.4834
1079,54000,-149.8008
1091,54600,-145.903
1103,55200,-153.0788
1115,55800,-157.9113
1127,56400,-150.0633
1139,57000,-163.2304
1151,57600,-160.7367
1163,58200,-143.5276
1175,58800,-164.2928
1187,59400,-159.6533
1199,60000,-160.1321
1211,60600,-153.5841
1223,61200,-152.245
1235,61800,-169.3002
1247,62400,-160.8948
1259,63000,-167.2803
1271,63600,-147.1485
1283,64200,-152.1654
1295,64800,-148.1675
1307,65400,-155.1619
1319,66000,-144.2486
1331,66600,-158.3597
1343,67200,-169.155
1355,67800,-152.8496
1367,68400,-154.9429
1379,69000,-150.7464
1391,69600,-145.3375
1403,70200,-146.7923
1415,70800,-152.6728
1427,71400,-166.4701
1439,72000,-147.9817
1451,72600,-154.6561
1463,73200,-119.726
1475,73800,-143.149
1487,74400,-167.7482
1499,75000,-161.1028
1511,75600,-165.262
1523,76200,-171.0395
1535,76800,-138.9861
1547,77400,-155.9662
1559,78000,-136.5737
1571,78600,-138.1883
1583,79200,-145.2495
1595,79800,-141.868
1607,80400,-144.5257
1619,81000,-153.9777
1631,81600,-156.7902
1643,82200,-131.6669
1655,82800,-141.8465
1667,83400,-136.3728
1679,84000,-166.7316
1691,84600,-130.6736
