episode,timestep,reward
19,1000,-249.8221
39,2000,-248.8987
59,3000,-241.425
79,4000,-245.7803
99,5000,-249.7178
119,6000,-248.882
139,7000,-249.5723
159,8000,-249.5865
179,9000,-249.5047
199,10000,-249.6933
219,11000,-249.5428
239,12000,-249.7463
259,13000,-249.6813
279,14000,-249.7499
299,15000,-249.8497
319,16000,-248.8042
339,17000,-249.4367
359,18000,-249.5675
379,19000,-249.916
399,20000,-249.7798
419,21000,-249.5346
439,22000,-249.9407
459,23000,-249.5403
479,24000,-249.787
499,25000,-249.3793
