episode,timestep,reward
5,300,-142.4654
11,600,-174.1277
17,900,-184.478
23,1200,-156.884
29,1500,-158.0543
35,1800,-150.184
41,2100,-174.9859
47,2400,-183.7855
53,2700,-135.8022
59,3000,-149.7154
65,3300,-144.0671
71,3600,-109.4239
77,3900,-104.6615
83,4200,-144.8908
89,4500,-111.5839
95,4800,-164.999
101,5100,-153.3028
107,5400,-135.1996
113,5700,-135.9967
119,6000,-128.9751
125,6300,-136.8617
131,6600,-106.0329
137,6900,-139.5566
143,7200,-110.0086
149,7500,-171.634
155,7800,-139.9714
161,8100,-115.1846
167,8400,-155.7329
173,8700,-146.096
179,9000,-105.7551
185,9300,-155.8582
191,9600,-96.5111
197,9900,-113.4803
203,10200,-126.7663
209,10500,-152.1875
215,10800,-134.1994
221,11100,-117.2352
227,11400,-146.7528
233,11700,-167.4092
239,12000,-165.5845
245,12300,-125.8213
251,12600,-116.8683
257,12900,-104.0944
263,13200,-143.3842
269,13500,-139.4612
275,13800,-119.5963
281,14100,-133.2626
287,14400,-110.7482
293,14700,-169.5531
299,15000,-108.5361
305,15300,-112.9894
311,15600,-173.0153
317,15900,-120.7238
323,16200,-135.2674
329,16500,-112.7886
335,16800,-146.0088
341,17100,-111.4547
347,17400,-121.2978
353,17700,-136.6485
359,18000,-128.5761
365,18300,-117.6234
371,18600,-125.3395
377,18900,-150.8845
383,19200,-134.8049
389,19500,-163.1329
395,19800,-128.7085
401,20100,-126.1515
407,20400,-125.1624
413,20700,-126.0099
419,21000,-109.1215
425,21300,-115.7368
431,21600,-123.466
437,21900,-161.2726
443,22200,-146.0267
449,22500,-109.5445
455,22800,-131.8568
461,23100,-115.5784
467,23400,-124.7311
473,23700,-71.7138
479,24000,-86.0426
485,24300,-115.9743
491,24600,-152.0201
497,24900,-79.865
503,25200,-150.6776
509,25500,-139.256
515,25800,-134.8119
521,26100,-129.834
527,26400,-121.3573
533,26700,-136.8261
539,27000,-149.5462
545,27300,-109.681
551,27600,-148.6733
557,27900,-125.2415
563,28200,-142.1084
569,28500,-144.9969
575,28800,-165.2279
581,29100,-166.6779
587,29400,-102.1193
593,29700,-139.1767
599,30000,-177.5777
605,30300,-154.4488
611,30600,-81.7906
617,30900,-163.4121
623,31200,-133.6859
629,31500,-166.5591
635,31800,-95.6986
641,32100,-139.0455
647,32400,-90.9825
653,32700,-135.4004
659,33000,-146.2969
665,33300,-136.197
671,33600,-109.2498
677,33900,-129.912
683,34200,-101.561
689,34500,-149.6226
695,34800,-126.0752
701,35100,-154.7744
707,35400,-161.7505
713,35700,-137.8084
719,36000,-151.8821
725,36300,-185.8542
731,36600,-120.4909
737,36900,-153.1084
743,37200,-153.547
749,37500,-102.8215
755,37800,-140.1047
761,38100,-103.1701
767,38400,-121.1601
773,38700,-158.3629
779,39000,-85.0927
785,39300,-132.8927
791,39600,-152.9825
797,39900,-170.8813
803,40200,-122.0458
809,40500,-145.6175
815,40800,-146.0153
821,41100,-142.7538
827,41400,-141.7314
833,41700,-153.3369
839,42000,-167.7825
845,42300,-129.0001
851,42600,-146.6873
857,42900,-154.8107
863,43200,-111.3232
869,43500,-116.2685
